"Name","Symbol","Average Vol. (3m)","Market Cap","Revenue","P/E Ratio","Beta"
"Ameriprise Financial","AMP","1.10M","20.37B","12.57B","10.61","1.81"
"AmerisourceBergen","ABC","1.37M","17.80B","163.76B","36.68","1"
"Ametek","AME","1.22M","17.73B","4.61B","26.38","1.22"
"Amgen","AMGN","4.81M","128.15B","23.19B","16.47","1.4"
"Amphenol","APH","1.18M","28.29B","7.63B","24.89","0.89"
"Anadarko Petroleum","APC","4.39M","35.16B","11.85B","","1.38"
"Analog Devices","ADI","3.05M","35.81B","6.01B","85.59","1.18"
"Andeavor","ANDV","1.47M","22.24B","47.32B","31.89","1.16"
"ANSYS","ANSS","484.57K","14.56B","1.12B","47.81","1.02"
"Anthem Inc","ANTM","1.24M","65.83B","90.62B","21.07","0.91"
"AO Smith","AOS","1.28M","10.05B","3.14B","25.15","1.45"
"Aon","AON","866.73K","34.99B","10.90B","30.4","1.04"
"Apache","APA","3.73M","17.25B","6.52B","17.79","1.23"
"Apartment Invest","AIV","896.73K","6.89B","1.01B","","0.4"
"Apple","AAPL","36.01M","1,022.30B","255.27B","18.04","1.23"
"Applied Materials","AMAT","14.20M","49.23B","16.48B","12.25","1.58"
"Aptiv","APTV","1.42M","26.07B","20.20B","23.45","1.63"
"Archer-Daniels-Midland","ADM","3.67M","27.93B","63.49B","20.16","1.03"
"Arconic Inc","ARNC","4.06M","10.25B","13.53B","","1.31"
"Arthur J Gallagher","AJG","920.55K","13.03B","6.68B","20.26","1.17"
"Assurant","AIZ","875.49K","6.82B","6.50B","19.52","0.52"
"AT&T","T","43.67M","236.41B","158.37B","17.42","0.39"
"Autodesk","ADSK","2.41M","28.94B","2.13B","","1.75"
"AutoZone","AZO","323.32K","19.07B","11.17B","16.75","0.85"
"AvalonBay","AVB","703.78K","24.89B","2.20B","","0.35"
"Avery Dennison","AVY","661.74K","9.96B","7.05B","23.05","1.33"
"Baker Hughes A","BHGE","3.90M","37.25B","22.09B","","0.77"
"Ball","BLL","2.71M","14.47B","11.54B","27.52","0.86"
"Bank of America","BAC","63.00M","319.49B","54.44B","14.86","1.29"
"Bank of NY Mellon","BK","4.96M","53.33B","9.42B","15.21","1.06"
"Baxter","BAX","2.89M","38.91B","11.00B","26.37","0.76"
"BB&T","BBT","3.80M","39.96B","6.32B","15.24","1.01"
"Becton Dickinson","BDX","1.12M","66.03B","14.75B","70.15","1.12"
"Berkshire Hathaway B","BRKb","4.08M","497.33B","235.42B","43.41","0.89"
"Best Buy","BBY","3.24M","21.26B","42.73B","17.47","0.98"
"Biogen Inc","BIIB","1.55M","69.34B","12.87B","17.51","0.89"
"BlackRock","BLK","585.58K","77.27B","13.89B","18.6","1.61"
"Boeing","BA","3.50M","202.99B","97.32B","24.24","1.48"
"Booking","BKNG","496.41K","97.78B","13.19B","25.97","1.31"
"BorgWarner","BWA","1.70M","9.52B","10.48B","11.78","1.93"
"Boston Properties","BXP","698.68K","19.93B","3.26B","","0.57"
"Boston Scientific","BSX","7.36M","46.27B","9.50B","34.01","0.64"
"Brighthouse Financial","BHF","875.37K","5.24B","7.69B","",""
"Bristol-Myers Squibb","BMY","6.94M","96.70B","21.60B","29.39","1.01"
"Broadcom","AVGO","3.47M","94.02B","19.65B","43.35","0.97"
"Brown Forman","BFb","1.40M","26.02B","3.25B","35.26","0.84"
"CA","CA","2.56M","18.53B","4.24B","24.08","0.84"
"Cabot Oil&Gas","COG","5.87M","10.35B","1.71B","","0.38"
"Cadence Design","CDNS","2.59M","12.66B","2.02B","107.31","1.09"
"Campbell Soup","CPB","5.86M","12.86B","8.13B","35.66","0.21"
"Capital One Financial","COF","2.51M","46.25B","16.07B","9.35","1.27"
"Cardinal Health","CAH","3.45M","15.63B","134.43B","20.34","1.05"
"CarMax","KMX","1.76M","13.19B","17.37B","19.32","1.57"
"Carnival","CCL","4.14M","41.58B","60.80M","15.07","0.85"
"Caterpillar","CAT","4.33M","82.82B","51.18B","15.18","1.41"
"CBOE Holdings","CBOE","1.59M","10.64B","2.68B","32.99","0.51"
"CBRE A","CBRE","1.65M","16.82B","15.90B","19.75","1.8"
"CBS","CBS","3.97M","20.16B","14.11B","11.68","1.42"
"Celgene","CELG","7.66M","63.61B","14.12B","17.14","1.32"
"Centene","CNC","1.49M","24.40B","52.08B","26.09","0.81"
"CenterPoint Energy","CNP","3.94M","12.07B","10.08B","27.49","0.45"
"CenturyLink","CTL","9.01M","20.31B","19.39B","57.45","0.78"
"Cerner","CERN","2.36M","22.18B","5.25B","32.28","0.96"
"CF Industries","CF","2.71M","11.45B","4.23B","118.42","0.95"
"CH Robinson","CHRW","1.54M","13.34B","15.95B","24.04","0.41"
"Charter Communications","CHTR","1.51M","72.21B","42.57B","81.42","1.25"
"Chesapeake Energy","CHK","39.79M","4.07B","9.21B","8.81","1.93"
"Chevron","CVX","5.98M","237.05B","146.93B","23.5","1.1"
"Chipotle Mexican Grill","CMG","762.84K","12.88B","4.65B","76.39","0.41"
"Chubb","CB","1.74M","64.66B","32.97B","19.22","1.09"
"Church&Dwight","CHD","2.30M","13.99B","4.03B","26.4","0.37"
"Cigna","CI","2.05M","46.04B","43.81B","16.87","0.61"
"Cimarex Energy","XEC","1.58M","8.97B","2.49B","18.36","1.12"
"Cincinnati Financial","CINF","584.85K","12.40B","5.61B","28.7","0.86"
"Cintas","CTAS","621.06K","21.99B","6.48B","37.28","0.96"
"Cisco","CSCO","26.89M","201.42B","48.62B","21.54","1.02"
"Citigroup","C","16.37M","184.59B","48.39B","11.81","1.46"
"Citizens Financial Group Inc","CFG","4.47M","19.59B","3.50B","13.42","1.35"
"Citrix Systems","CTXS","1.63M","14.90B","2.91B","31.18","1.18"
"Clorox","CLX","1.40M","18.53B","6.12B","25.41","0.32"
"CME Group","CME","1.61M","55.04B","3.96B","30.38","0.61"
"CMS Energy","CMS","2.62M","13.66B","6.75B","19.56",""
"Coca-Cola","KO","11.09M","198.38B","33.14B","33.92","0.78"
"Cognizant","CTSH","3.75M","45.59B","15.51B","22.16","0.98"
"Colgate-Palmolive","CL","4.24M","58.57B","620.47M","24.01","0.73"
"Comcast","CMCSA","25.15M","162.94B","87.42B","14.94","1.21"
"Comerica","CMA","1.71M","16.85B","1.73B","16.46","1.4"
"ConAgra Foods","CAG","4.54M","14.70B","7.94B","27.44","0.25"
"Concho Resources","CXO","2.41M","19.90B","3.30B","27.53","1.07"
"ConocoPhillips","COP","6.51M","83.41B","32.92B","23.05","1.21"
"Consolidated Edison","ED","1.83M","24.58B","12.23B","3.58","-0.01"
"Constellation Brands A","STZ","1.65M","40.83B","7.70B","20.76","0.05"
"Cooper","COO","417.22K","12.78B","2.34B","38.74","0.69"
"Corning","GLW","5.86M","26.60B","10.49B","","1.36"
"Costco","COST","2.66M","97.37B","139.47B","34.04","0.93"
"Coty Inc","COTY","5.90M","10.46B","9.34B","","0.24"
"Crown Castle","CCI","2.19M","46.66B","4.93B","112.26","0.39"
"CSX","CSX","8.27M","61.20B","11.58B","23.71","1.23"
"Cummins","CMI","1.38M","23.33B","","12.27","1.16"
"CVS Health Corp","CVS","7.99M","65.97B","185.94B","12.86","0.94"
"Danaher","DHR","2.42M","70.93B","19.29B","26.88","1.05"
"Darden Restaurants","DRI","1.71M","13.45B","8.08B","26.16","0.12"
"DaVita","DVA","1.39M","13.01B","16.61B","29.33","1.13"
"Deere&Company","DE","2.80M","46.49B","33.46B","17.81","0.89"
"Delta Air Lines","DAL","6.50M","37.51B","43.05B","11.08","1.04"
"Dentsply","XRAY","2.15M","10.86B","4.05B","","1.31"
"Devon Energy","DVN","6.59M","22.53B","13.19B","","2.3"
"Digital","DLR","1.21M","25.25B","2.84B","126.76","0.18"
"Discover","DFS","2.05M","25.59B","6.15B","9.8","1.48"
"Discovery A","DISCA","5.86M","13.39B","7.57B","","1.5"
"Discovery Communications C","DISCK","4.79M","13.39B","7.57B","","1.5"
"DISH Network","DISH","2.37M","15.98B","13.99B","13.94","1.14"
"Dollar General","DG","2.50M","26.28B","23.98B","20.29","0.91"
"Dollar Tree","DLTR","2.83M","21.47B","22.51B","19.32","0.84"
"Dominion Resources","D","3.86M","47.06B","12.94B","22.45","0.25"
"Dover","DOV","1.68M","12.15B","7.74B","18.41","1.35"
"DR Horton","DHI","4.46M","16.50B","15.72B","11.84","1.09"
"DTE Energy","DTE","1.28M","20.01B","13.43B","15.5","0.12"
"Duke","DRE","2.26M","10.49B","855.57M","28.63","0.58"
"Duke Energy","DUK","3.62M","57.17B","24.06B","21.38","0.03"
"DuPont","DWDP","7.61M","155.08B","81.18B","113.35",""
"DXC Technology","DXC","2.33M","24.53B","24.56B","14.12","0.93"
"E-TRADE","ETFC","2.67M","15.86B","2.76B","20","1.15"
"Eastman Chemical","EMN","887.81K","14.56B","10.06B","13.31","1.13"
"Eaton","ETN","2.64M","35.34B","31.14B","11.75","1.39"
"eBay","EBAY","10.27M","33.31B","10.24B","16.8","1.23"
"Ecolab","ECL","1.07M","42.45B","14.37B","30.26","0.97"
"Edison","EIX","1.87M","21.84B","12.27B","24.81","0.12"
"Edwards Lifesciences","EW","1.22M","30.40B","3.55B","33.52","0.59"
"Electronic Arts","EA","3.84M","40.06B","5.15B","32.01","0.63"
"Eli Lilly","LLY","3.70M","108.02B","23.87B","59.86","0.24"
"Emerson","EMR","2.65M","45.04B","16.54B","26.39","1.14"
"Entergy","ETR","1.80M","16.43B","19.75B","17.68","0.45"
"Envision Healthcare","EVHC","4.33M","5.38B","8.02B","","0.32"
"EOG Resources","EOG","3.13M","70.86B","12.38B","42.6","1.1"
"EQT","EQT","2.79M","13.37B","4.28B","","0.59"
"Equifax","EFX","985.52K","15.37B","3.42B","33.99","0.84"
"Equinix","EQIX","705.19K","36.19B","4.63B","546.41","0.49"
"Equity Residential","EQR","1.96M","25.52B","2.53B","42.14","0.41"
"Essex Property","ESS","405.26K","16.01B","1.39B","42.93","0.32"
"Estee Lauder","EL","1.81M","49.55B","13.28B","34.34","0.61"
"Everest","RE","272.86K","9.04B","8.36B","","0.44"
"Eversource Energy","ES","2.03M","19.31B","8.03B","19.18","0.23"
"Exelon","EXC","5.82M","41.02B","34.47B","12.21","0.19"
"Expedia","EXPE","2.45M","19.74B","10.67B","82.56","1.41"
"Expeditors Washington","EXPD","1.21M","13.38B","7.23B","28.03","0.7"
"Express Scripts","ESRX","5.09M","43.54B","100.47B","7.29","0.96"
"Extra Space Storage","EXR","966.57K","11.63B","1.13B","","0.19"
"Exxon Mobil","XOM","11.62M","339.55B","272.64B","22.82","0.87"
"F5 Networks","FFIV","781.94K","10.53B","2.14B","22.67","0.74"
"Facebook","FB","22.07M","514.61B","48.50B","24.56","0.51"
"Fastenal","FAST","2.59M","16.14B","4.68B","24.58","0.95"
"Federal Realty","FRT","431.88K","9.39B","892.22M","44.54","0.19"
"FedEx","FDX","1.60M","64.70B","65.45B","22.48","1.48"
"Fidelity National Info","FIS","1.56M","34.50B","8.70B","52.88","0.94"
"Fifth Third","FITB","5.27M","20.37B","4.13B","8.53","1.28"
"FirstEnergy","FE","4.03M","17.43B","12.84B","","0.23"
"Fiserv","FISV","1.15M","31.22B","5.78B","27.71","0.79"
"FLIR Systems","FLIR","999.52K","8.02B","1.85B","37.26","0.64"
"Flowserve","FLS","1.19M","5.87B","3.71B","51.69","1.52"
"Fluor","FLR","1.67M","7.82B","19.68B","23.94","1.47"
"FMC","FMC","1.23M","11.81B","4.10B","22.38","1.66"
"Foot Locker","FL","3.15M","5.51B","7.81B","15.74","0.81"
"Ford Motor","F","35.63M","39.30B","158.66B","6.3","0.91"
"Fortive","FTV","1.74M","28.35B","7.09B","26.15",""
"Fortune Brands","FBHS","1.81M","8.39B","5.41B","19.8","1.31"
"Fox Inc","FOX","3.22M","83.74B","29.21B","30.62","1.35"
"Franklin Resources","BEN","3.15M","17.45B","6.41B","10.12","1.57"
"Freeport-McMoran","FCX","16.61M","22.76B","19.39B","9.23","2.61"
"Gap","GPS","5.48M","11.76B","16.20B","13.24","0.62"
"Garmin Ltd","GRMN","1.26M","12.86B","3.24B","20.25","1.02"
"Gartner","IT","635.63K","12.61B","3.81B","552.67","1.16"
"General Dynamics","GD","1.52M","57.65B","32.58B","18.79","0.83"
"General Electric","GE","63.99M","114.20B","123.64B","","1"
"General Mills","GIS","5.39M","28.03B","15.74B","17.2","0.74"
"General Motors","GM","11.59M","53.17B","144.20B","8.95","1.63"
"Genuine Parts","GPC","799.69K","14.39B","17.71B","20.02","1.2"
"GGP","GGP","9.10M","20.62B","3.49B","36.91","0.85"
"Gilead","GILD","8.65M","101.33B","23.20B","13.32","1.07"
"Global Payments","GPN","1.04M","18.95B","3.72B","47.75","1.18"
"Goldman Sachs","GS","2.85M","88.42B","48.43B","9.86","1.28"
"H&R Block","HRB","3.21M","5.30B","3.16B","8.92","0.14"
"Halliburton","HAL","8.98M","37.00B","23.27B","41.59","1.08"
"Hanesbrands","HBI","6.61M","6.48B","6.63B","13.24","0.51"
"Harley-Davidson","HOG","2.19M","7.33B","5.64B","13.57","0.98"
"Harris","HRS","706.86K","19.28B","6.18B","27.58","1.23"
"Hartford","HIG","1.94M","18.90B","18.71B","15.7","0.97"
"Hasbro","HAS","1.65M","12.63B","5.01B","21.89","0.92"
"HCA","HCA","1.76M","45.46B","45.21B","14.84","0.52"
"HCP","HCP","3.35M","12.43B","1.85B","157.08","0.24"
"Helmerich&Payne","HP","1.34M","6.67B","2.32B","","1.37"
"Henry Schein","HSIC","1.90M","12.36B","12.76B","22.89","1.01"
"Hershey","HSY","1.28M","20.75B","7.64B","21.05","0.3"
"Hess","HES","3.51M","19.90B","5.99B","","1.44"
"Hewlett Packard","HPE","11.18M","24.19B","29.01B","96.07",""
"Hilton Worldwide","HLT","2.89M","23.49B","9.00B","33.82","1.28"
"Hologic","HOLX","2.48M","11.50B","3.21B","","0.71"
"Home Depot","HD","4.10M","225.68B","101.96B","24.34","1.12"
"Honeywell","HON","2.65M","115.13B","42.28B","35.79","1.01"
"Hormel Foods","HRL","2.37M","19.64B","9.36B","22.95","0.3"
"Host Hotels Resorts","HST","6.49M","16.04B","5.39B","24.05","1.27"
"HP Inc","HPQ","7.63M","37.59B","55.51B","18.28","1.6"
"Humana","HUM","609.23K","44.62B","55.01B","30.35","0.94"
"Huntington Bancshares","HBAN","10.45M","17.33B","2.50B","15.06","1.33"
"IBM","IBM","4.27M","135.58B","80.77B","12.08","0.86"
"ICE","ICE","2.26M","42.17B","4.76B","24.45","0.64"
"IDEXX Labs","IDXX","557.16K","21.08B","2.12B","63.85","0.65"
"IFF","IFF","794.04K","10.59B","3.50B","23.75","1.07"
"IHS Markit Ltd","INFO","2.04M","20.76B","3.79B","46.13","0.77"
"Illinois Tool Works","ITW","1.60M","47.27B","14.82B","18.81","1.29"
"Illumina Inc","ILMN","897.79K","48.88B","3.10B","61.66","0.94"
"Incyte","INCY","1.70M","13.40B","1.73B","","1.11"
"Ingersoll-Rand","IR","1.43M","23.78B","25.61B","17.32","1.37"
"Intel","INTC","36.06M","231.28B","66.23B","12.64","0.97"
"International Paper","IP","2.79M","21.76B","33.20B","15.7","1.53"
"Intuit","INTU","1.38M","52.64B","5.82B","43.69","1.19"
"Intuitive Surgical","ISRG","830.96K","59.44B","3.46B","53.52","0.84"
"Invesco","IVZ","3.85M","10.33B","5.43B","9.92","1.7"
"IPG","IPG","3.55M","8.45B","8.80B","15.52","1.18"
"IPG Photonics","IPGP","651.47K","9.15B","1.53B","21.07","1.77"
"Iron Mountain","IRM","1.77M","10.23B","4.06B","54.39","0.66"
"J&J","JNJ","6.61M","353.91B","80.68B","24.08","0.68"
"Jacobs Engineering","JEC","1.09M","9.51B","11.85B","32.76","1.52"
"JB Hunt","JBHT","999.78K","13.21B","7.92B","17.67","0.93"
"Jefferies Financial","JEF","2.01M","8.44B","10.51B","25.2","1.21"
"JM Smucker","SJM","1.39M","13.20B","7.36B","23.21","0.54"
"Johnson Controls","JCI","4.27M","35.14B","31.17B","14.35","0.87"
"JPMorgan","JPM","13.69M","398.67B","65.43B","14.57","1.18"
"Juniper","JNPR","5.48M","9.20B","7.31B","51.47","0.84"
"Kansas City Southern","KSU","948.33K","11.83B","2.64B","21.35","0.85"
"Kellogg","K","2.67M","25.03B","13.24B","14.19","0.46"
"Keurig Dr Pepper","KDP","4.27M","4.33B","6.77B","5.74","0.89"
"KeyCorp","KEY","8.95M","22.68B","3.60B","14.89","0.97"
"Kimberly-Clark","KMB","2.35M","40.77B","18.56B","23.7","0.72"
"Kimco","KIM","4.05M","7.26B","1.21B","31.42","0.35"
"Kinder Morgan","KMI","13.34M","38.88B","13.76B","","0.69"
"KLA-Tencor","KLAC","1.44M","18.64B","4.04B","15.1","1.59"
"Kohl’s","KSS","3.71M","12.08B","19.46B","16.55","1.28"
"Kraft Heinz","KHC","4.64M","78.61B","26.17B","19.4",""
"Kroger","KR","11.06M","23.84B","123.91B","9.62","0.91"
"L Brands","LB","4.62M","9.01B","12.82B","10.94","0.62"
"L3 Tech","LLL","696.24K","16.56B","14.53B","24.76","1.24"
"Laboratory of America","LH","736.54K","18.25B","11.17B","23.44","1"
"Lam Research","LRCX","3.70M","30.72B","11.08B","11.01","1.41"
"Leggett&Platt","LEG","1.21M","5.73B","4.13B","17.84","0.85"
"Lennar","LEN","3.76M","16.62B","15.49B","13.27","1.28"
"Lincoln National","LNC","1.74M","14.57B","14.84B","21.65","1.98"
"LKQ","LKQ","1.68M","10.36B","10.69B","21.48","1.22"
"Lockheed Martin","LMT","1.34M","91.53B","52.34B","20.92","0.73"
"Loews","L","1.23M","16.33B","14.26B","17.4","0.68"
"Lowe’s","LOW","4.79M","79.68B","69.12B","21.19","1.37"
"LyondellBasell Industries","LYB","2.05M","43.97B","35.82B","9.9","1.14"
"M&T Bank","MTB","923.58K","25.33B","3.13B","16.88","0.9"
"Macerich","MAC","1.08M","8.53B","983.34M","150.96","0.79"
"Macy’s Inc","M","9.21M","11.93B","25.20B","11.46","0.76"
"Marathon Oil","MRO","12.13M","17.52B","5.53B","","2.42"
"Marathon Petroleum","MPC","5.37M","36.53B","82.05B","15.3","1.43"
"Marriott Int","MAR","2.39M","45.30B","22.34B","23.72","1.36"
"Marsh McLennan","MMC","1.77M","42.27B","14.76B","20.32","0.94"
"Martin Marietta Materials","MLM","634.64K","13.03B","4.06B","28.19","1.06"
"Masco","MAS","3.31M","12.26B","8.03B","21.51","1.46"
"Mastercard","MA","3.28M","210.21B","13.96B","38.76","1.18"
"Mattel","MAT","6.37M","5.48B","4.72B","","1.06"
"McCormick&Co","MKC","970.02K","15.95B","5.24B","30.05","0.52"
"McDonald’s","MCD","3.69M","122.65B","21.59B","20.17","0.65"
"McKesson","MCK","1.78M","25.21B","209.91B","","1.24"
"Medtronic","MDT","4.58M","122.30B","29.95B","22.23","0.91"
"Merck&Co","MRK","9.35M","177.37B","41.26B","45.26","0.83"
"MetLife","MET","5.41M","46.08B","98.08B","9.51","1.22"
"Mettler-Toledo","MTD","210.92K","14.79B","2.86B","33.42","1.14"
"MGM","MGM","10.20M","15.89B","11.10B","35.27","1.51"
"Michael Kors","KORS","2.73M","9.64B","4.72B","16.23","0.07"
"Microchip","MCHP","3.07M","22.39B","3.98B","29.48","1.11"
"Micron","MU","48.47M","61.25B","28.09B","5.35","1.65"
"Microsoft","MSFT","30.04M","830.09B","110.36B","27.74","1.24"
"Mid-America Apartment","MAA","624.53K","11.59B","1.54B","33.8","0.27"
"Mohawk Industries","MHK","1.06M","13.92B","9.81B","14.54","1.31"
"Molson Coors Brewing B","TAP","2.52M","15.01B","10.88B","12.95","0.71"
"Mondelez","MDLZ","9.49M","64.55B","26.37B","22.08","0.87"
"Monster Beverage 1990","MNST","2.75M","33.34B","3.48B","37.92","1.32"
"Moodys","MCO","747.46K","33.14B","4.53B","39.73","1.09"
"Morgan Stanley","MS","9.22M","88.35B","47.81B","11.14","1.44"
"Mosaic","MOS","3.93M","11.74B","7.77B","27.49","1.54"
"Motorola","MSI","1.19M","19.08B","6.83B","25.55","0.42"
"Mylan","MYL","5.61M","19.82B","11.87B","24.3","1.44"
"Nasdaq Inc","NDAQ","991.50K","15.28B","4.17B","23.11","0.65"
"National Oilwell Varco","NOV","2.97M","17.97B","7.71B","","0.98"
"Navient","NAVI","2.97M","3.50B","1.45B","42.55","2.15"
"NetApp","NTAP","3.10M","21.52B","5.91B","24.35","1.21"
"Netflix","NFLX","10.48M","149.40B","13.88B","144.43","0.9"
"Newell Brands","NWL","5.93M","12.91B","14.49B","16.83","0.7"
"Newfield Exploration","NFX","3.09M","5.49B","2.21B","15.97","1.5"
"Newmont Mining","NEM","4.10M","19.45B","7.29B","23.65","0.28"
"News Corp","NWS","447.21K","8.83B","8.41B","","1.95"
"News Corp A","NWSA","2.30M","8.83B","8.41B","","1.95"
"NextEra Energy","NEE","1.84M","80.69B","16.75B","13.76","0.18"
"Nielsen Holdings","NLSN","4.35M","7.83B","6.66B","16.54","0.92"
"Nike","NKE","6.36M","126.03B","36.40B","32.71","0.68"
"NiSource","NI","2.72M","9.65B","5.04B","32.81","0.13"
"Noble Energy","NBL","4.15M","15.93B","4.51B","","1.1"
"Nordstrom","JWN","2.33M","8.47B","15.69B","16.98","0.75"
"Norfolk Southern","NSC","1.66M","48.49B","10.95B","20.48","1.41"
"Northern Trust","NTRS","1.18M","24.52B","6.07B","18.87","0.95"
"Northrop Grumman","NOC","1.16M","51.84B","27.02B","20.44","0.69"
"Norwegian Cruise Line","NCLH","1.96M","11.19B","5.54B","14.41","1.4"
"NRG","NRG","5.07M","10.27B","10.89B","11.19","1.04"
"Nucor","NUE","2.31M","20.51B","25.82B","","1.61"
"NVIDIA","NVDA","15.22M","153.02B","10.98B","43.41","1.57"
"O'Reilly","ORLY","969.88K","25.55B","9.27B","22.23","0.96"
"Occidental","OXY","4.64M","63.02B","13.50B","33.48","0.67"
"Omnicom","OMC","2.09M","15.13B","15.39B","12.45","1.1"
"ONEOK","OKE","2.25M","27.75B","12.76B","29.67","1.03"
"Oracle","ORCL","18.17M","192.97B","39.83B","18.88","1.16"
"PACCAR","PCAR","2.56M","22.67B","21.97B","12.03","1.24"
"Pacific Gas&Electric","PCG","5.18M","22.19B","16.91B","82.25","-0.08"
"Packaging America","PKG","706.32K","10.51B","6.78B","17.21","1.84"
"Parker-Hannifin","PH","1.10M","22.94B","14.30B","18.2","1.43"
"Patterson","PDCO","1.94M","2.32B","5.47B","18.39","1.11"
"Paychex","PAYX","2.21M","25.04B","3.38B","30.33","0.92"
"PayPal Holdings Inc","PYPL","9.43M","100.84B","14.53B","46.11",""
"Pentair","PNR","1.68M","7.84B","4.54B","15.12","1.38"
"People’s United","PBCT","2.92M","6.45B","919.80M","16.13","0.9"
"PepsiCo","PEP","4.41M","164.49B","64.42B","21.23","0.7"
"PerkinElmer","PKI","619.45K","9.55B","2.54B","37.49","0.95"
"Perrigo","PRGO","1.20M","10.90B","4.97B","76.95","0.86"
"Pfizer","PFE","20.42M","237.14B","300.65M","20.6","0.95"
"Philip Morris","PM","6.32M","134.99B","30.39B","16.86","0.91"
"Phillips 66","PSX","2.43M","56.73B","108.48B","19.12","1.01"
"Pinnacle West","PNW","853.89K","8.99B","3.58B","18.9","0.13"
"Pioneer Natural Resources","PXD","1.45M","31.38B","6.96B","74.53","1.04"
"PNC Financial","PNC","2.26M","68.09B","9.66B","16.08","0.91"
"PPG Industries","PPG","1.88M","26.85B","15.38B","22.93","1.53"
"PPL","PPL","7.09M","20.25B","7.62B","13.33","0.53"
"Praxair","PX","1.39M","47.19B","11.94B","26.68","1.14"
"Principal Financial","PFG","1.45M","15.99B","14.04B","8.55","1.51"
"Procter&Gamble","PG","8.42M","207.03B","359.13M","","0.56"
"Progressive","PGR","3.49M","35.85B","29.34B","17.04","0.66"
"ProLogis","PLD","3.05M","35.63B","2.54B","19.23","0.78"
"Prudential Financial","PRU","1.97M","41.76B","60.03B","","1.51"
"Public Service Enterprise","PEG","2.95M","25.98B","9.19B","18.2","0.36"
"Public Storage","PSA","910.31K","37.28B","2.71B","29.82","0.25"
"PulteGroup","PHM","4.62M","8.18B","9.46B","9.1","1.06"
"PVH","PVH","935.86K","11.63B","9.24B","25.08","0.76"
"Qorvo Inc","QRVO","2.04M","10.57B","3.03B","294.78","0.93"
"Qualcomm","QCOM","12.16M","96.96B","22.83B","","1.64"
"Quanta Services","PWR","1.27M","5.24B","10.16B","22.49","0.89"
"Quest Diagnostics","DGX","931.42K","14.87B","7.67B","22.09","0.74"
"Ralph Lauren A","RL","1.17M","10.65B","6.23B","24.75","0.68"
"Range Resources","RRC","7.24M","3.88B","2.74B","","0.57"
"Raymond James Financial","RJF","814.08K","13.32B","7.02B","15.84","1.67"
"Raytheon","RTN","1.83M","56.24B","25.96B","22.03","0.69"
"Realty Income","O","1.89M","16.40B","1.26B","49.53","0.09"
"Red Hat","RHT","2.22M","25.01B","3.06B","61.55","1.07"
"Regency Centers","REG","1.32M","10.98B","1.08B","47","0.38"
"Regeneron Pharma","REGN","927.29K","41.84B","6.20B","23.78","1.2"
