"Name","Symbol","Hourly","Daily","Weekly","Monthly"
"US Bancorp","USB","Strong Buy","Strong Buy","Strong Buy","Buy"
"Valero Energy","VLO","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Varian","VAR","Buy","Strong Sell","Sell","Strong Buy"
"Ventas","VTR","Strong Buy","Strong Buy","Strong Buy","Neutral"
"VeriSign","VRSN","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Verisk","VRSK","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Verizon","VZ","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Vertex","VRTX","Strong Sell","Neutral","Strong Buy","Strong Buy"
"VF","VFC","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Viacom B","VIAB","Strong Buy","Strong Buy","Strong Sell","Strong Sell"
"Visa","V","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Vornado","VNO","Strong Buy","Neutral","Neutral","Sell"
"Vulcan Materials","VMC","Sell","Strong Sell","Strong Sell","Sell"
"Walgreens Boots","WBA","Strong Buy","Strong Buy","Buy","Sell"
"Walmart","WMT","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Walt Disney","DIS","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Waste Management","WM","Neutral","Strong Buy","Strong Buy","Strong Buy"
"Waters","WAT","Sell","Strong Sell","Sell","Buy"
"WEC Energy","WEC","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Wells Fargo&Co","WFC","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Welltower","WELL","Strong Buy","Strong Buy","Strong Buy","Neutral"
"Western Digital","WDC","Strong Sell","Strong Sell","Strong Sell","Strong Sell"
"Western Union","WU","Strong Sell","Strong Sell","Strong Sell","Neutral"
"WestRock Co","WRK","Neutral","Strong Sell","Strong Sell","Strong Sell"
"Weyerhaeuser","WY","Strong Sell","Strong Sell","Strong Sell","Neutral"
"Whirlpool","WHR","Buy","Strong Sell","Strong Sell","Strong Sell"
"Williams","WMB","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Willis Towers Watson","WLTW","Sell","Strong Sell","Strong Sell","Neutral"
"WW Grainger","GWW","Strong Sell","Buy","Strong Buy","Strong Buy"
"Wyndham","WYND","Strong Buy","Buy","Sell","Neutral"
"Wynn Resorts","WYNN","Strong Sell","Strong Sell","Strong Sell","Neutral"
"Xcel Energy","XEL","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Xerox","XRX","Strong Buy","Strong Buy","Strong Sell","Strong Sell"
"Xilinx","XLNX","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"XL Group","XL","Strong Sell","Strong Buy","Strong Buy","Strong Buy"
"Xylem","XYL","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Yum! Brands","YUM","Strong Buy","Strong Buy","Neutral","Strong Buy"
"Zimmer Biomet","ZBH","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Zions","ZION","Strong Buy","Buy","Neutral","Strong Buy"
"Zoetis Inc","ZTS","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
