"Name","Symbol","Daily","1 Week","1 Month","YTD","1 Year","3 Years"
"Cintas","CTAS","-0.61%","0.92%","9.25%","32.79%","53.27%","136.18%"
"Cisco","CSCO","0.71%","0.61%","0.63%","11.83%","34.69%","51.50%"
"Citigroup","C","1.40%","0.98%","8.76%","-2.71%","4.94%","23.24%"
"Citizens Financial Group Inc","CFG","0.32%","0.80%","3.16%","-3.72%","13.48%","51.61%"
"Citrix Systems","CTXS","0.10%","-1.88%","3.88%","24.93%","40.66%","42.85%"
"Clorox","CLX","0.45%","7.81%","5.99%","-3.81%","6.39%","20.30%"
"CME Group","CME","0.37%","-2.33%","0.83%","10.67%","28.45%","70.33%"
"CMS Energy","CMS","1.11%","0.50%","0.37%","2.24%","2.83%","43.46%"
"Coca-Cola","KO","0.95%","0.89%","4.39%","1.61%","2.46%","10.68%"
"Cognizant","CTSH","1.25%","-4.59%","-2.59%","9.57%","9.33%","15.56%"
"Colgate-Palmolive","CL","0.39%","1.26%","2.33%","-10.54%","-5.57%","-2.29%"
"Comcast","CMCSA","2.22%","0.94%","6.91%","-11.59%","-10.58%","18.39%"
"Comerica","CMA","-0.38%","1.80%","8.51%","12.91%","32.71%","106.14%"
"ConAgra Foods","CAG","2.01%","0.83%","4.68%","-0.19%","10.65%","-15.98%"
"Concho Resources","CXO","-5.99%","-9.99%","-2.86%","-11.13%","12.44%","26.00%"
"ConocoPhillips","COP","-0.38%","-0.22%","3.42%","29.88%","56.47%","45.13%"
"Consolidated Edison","ED","1.18%","0.71%","0.15%","-6.87%","-4.46%","24.76%"
"Constellation Brands A","STZ","2.92%","0.03%","-0.80%","-6.37%","10.42%","73.50%"
"Cooper","COO","-0.02%","2.49%","8.86%","19.47%","6.81%","45.81%"
"Corning","GLW","0.15%","-2.09%","17.45%","2.66%","12.27%","78.77%"
"Costco","COST","0.41%","1.08%","6.16%","19.29%","41.93%","51.15%"
"Coty Inc","COTY","3.26%","3.95%","-1.62%","-29.91%","-29.27%","-50.78%"
"Crown Castle","CCI","1.11%","3.15%","1.34%","1.33%","10.26%","36.77%"
